1347533555467|0|1|35184372093118|Sanjay|Anand|male|581990400000|1347533555467|103.1.131.183|Firefox|117|te;bn;en|Sanjay35184372093118@gmail.com;Sanjay35184372093118@gmx.com;Sanjay35184372093118@yahoo.com|4;571;1187;2931;8163;10222;12296|3650,2007|554,2008
1347543673849|0|1|35184372098266|Jie|Zhang|male|535852800000|1347543673849|1.2.47.91|Firefox|346|zh;en|Jie35184372098266@gmx.com;Jie35184372098266@yahoo.com|6;565;778;973;976;1187;2919;2927;6413;6945;7516;9163|2205,2006|935,2007;936,2007;905,2007;925,2008;910,2008
1347546700674|0|1|35184372096260|André|Atem|female|501897600000|1347546700674|41.205.16.11|Internet Explorer|1048|en|Andre35184372096260@yahoo.com|285;441;1761;2019;2800;2832;4994;5116;5446;5531;5677;6369;7340;7756;7853;8219;8481;9738;9868;10410;11121;11211|1980,2004|209,2005;205,2006
1347555574586|0|1|35184372096705|Richard|Santos|female|367459200000|1347555574586|121.54.18.191|Internet Explorer|828|en|Richard35184372096705@gmail.com;Richard35184372096705@gmx.com;Richard35184372096705@yahoo.com|4||966,2001;1110,2003
1347560994671|0|1|35184372096082|Isabel|Garcia|female|439516800000|1347560994671|116.66.251.230|Chrome|810|en;tl|Isabel35184372096082@gmail.com;Isabel35184372096082@loveis.lv|215||961,2003;965,2008;958,2007
1347579628476|0|1|35184372094304|Vitor|Carvalho|female|497750400000|1347579628476|91.216.117.198|Chrome|1288|pt;en|Vitor35184372094304@yahoo.com|1858;2793;3002;11695|5870,2004|995,2006
1347584779167|0|1|35184372097711|Wilhelm|Fischer|male|350611200000|1347584779167|46.21.6.39|Firefox|621|de;en|Wilhelm35184372097711@gmail.com;Wilhelm35184372097711@gmx.com;Wilhelm35184372097711@hotmail.com;Wilhelm35184372097711@yahoo.com|1419||450,2008
1347599634911|0|1|35184372095957|Henri|Arnaud|male|562377600000|1347599634911|46.23.255.175|Firefox|1129|fr;br;en|Henri35184372095957@gmx.com|254;783;1545;1863;1952;1999;2102;2819;2822;2943;2951||
1347600292122|0|1|35184372091840|Arturo|Alvarez|female|596073600000|1347600292122|189.206.207.8|Internet Explorer|752|es;en|Arturo35184372091840@gmail.com|1417|5042,2006|804,2007;789,2008
1347603698975|0|1|35184372094031|Richard|Becker|female|366768000000|1347603698975|198.176.223.238|Chrome|632|de;en|Richard35184372094031@gmail.com;Richard35184372094031@gmx.com|448;543;592;1154;1200;1410;1993;1994;2056;2785;2813;5119;9227|2832,2003|472,2003;457,2004;489,2005;443,2004;476,2004
1347607610142|0|1|35184372095791|Jim|Douglas|female|496972800000|1347607610142|24.142.40.170|Chrome|1020|en|Jim35184372095791@gmail.com;Jim35184372095791@zoho.com|1668;1915;7519|1986,2003|246,2005;216,2004
1347615339076|0|1|35184372090047|Witold|Ciesla|female|435456000000|1347615339076|31.183.168.247|Firefox|1282|pl;en|Witold35184372090047@gmail.com|205;1178;1760;1988;9097;9163;9317||979,2009
1347615658090|0|1|35184372097391|Placidus|Baldini|male|557712000000|1347615658090|41.222.24.56|Firefox|1375|en;ar|Placidus35184372097391@gmail.com|1952||1297,2011;1300,2009;1301,2006;1302,2006;776,2011
1347617027892|0|1|35184372094169|Muhammad|Anwar|male|434505600000|1347617027892|103.22.232.203|Firefox|673|en;jv|Muhammad35184372094169@gmx.com;Muhammad35184372094169@hotmail.com;Muhammad35184372094169@yahoo.com|1412;2054;2817;2924;3081;5117;7005;7092;7380;9133;11742;15523|4513,2004|566,2005;585,2005;569,2006;559,2005;575,2006
1347620851881|0|1|35184372095173|A. K.|Roy|female|612835200000|1347620851881|49.12.159.140|Firefox|143|ta;hi;en|A.K.35184372095173@gmail.com|4;2061;2097||553,2012;554,2008;541,2009
1347625494732|0|1|35184372089129|Ashin|Michie|female|487555200000|1347625494732|203.215.60.162|Chrome|1010|my;en|Ashin35184372089129@gmail.com;Ashin35184372089129@gmx.com;Ashin35184372089129@hotmail.com|205;564;571;577;810;973;978;1177;1668;1988;2081;2096;2107;2799;2818;2840;2845;2879;2923;2926;2963;2965;4986;5162;5342;5546;5648;5650;6368;6645;6990;7507;7522;7572;7594;8792;10107;10322||1009,2010;982,2004;892,2006;109,2004;1133,2010
1347625590012|0|1|35184372098950|Richard|Diaz|female|379987200000|1347625590012|116.66.249.56|Firefox|816|en;tl|Richard35184372098950@zoho.com|148;579;594;782;973;976;1021;1027;1030;1987;2017;2046;2052;2072;2082;2785;2816;2837;2882;2895;2985;3093;5062;5115;5158;6938;7522;9076;9144;9174;9299||966,2005;954,2001;956,2005;957,2006
1347639896149|0|1|35184372092999|Yang|Li|male|358128000000|1347639896149|27.121.72.63|Firefox|472|zh;en|Yang35184372092999@gmail.com|1538||
1347644194918|0|1|35184372094682|Barbara|LuaLua|male|539568000000|1347644194918|41.76.137.54|Firefox|1097|fr;ln;en|Barbara35184372094682@gmail.com;Barbara35184372094682@gmx.com|205;424;565;573;595;792;1022;1027;1178;1504;1546;1614;1749;1764;1771;1995;1996;2017;2021;2035;2046;2061;2067;2109;2783;2789;2818;2827;2870;2873;2880;2938;2940;2998;3030;3036;3068;3082;5129;5238;5296;5979;6369;6409;6871;6973;6999;7025;7376;7380;7514;7520;7523;9141;9299;9310;13069||327,2011;343,2011
